timestamp, power.draw.instant [W], clocks.current.sm [MHz]
2023/08/30 15:31:22.710, 77.23 W, 1755 MHz
2023/08/30 15:31:22.714, 77.23 W, 1755 MHz
2023/08/30 15:31:22.717, 77.23 W, 1755 MHz
2023/08/30 15:31:22.721, 77.19 W, 1755 MHz
2023/08/30 15:31:22.724, 77.19 W, 1755 MHz
2023/08/30 15:31:22.741, 77.19 W, 1755 MHz
2023/08/30 15:31:22.745, 77.19 W, 1755 MHz
2023/08/30 15:31:22.750, 77.19 W, 1755 MHz
2023/08/30 15:31:22.754, 77.19 W, 1755 MHz
2023/08/30 15:31:22.757, 77.19 W, 1755 MHz
2023/08/30 15:31:22.760, 77.19 W, 1755 MHz
2023/08/30 15:31:22.764, 77.19 W, 1755 MHz
2023/08/30 15:31:22.770, 77.19 W, 1755 MHz
2023/08/30 15:31:22.773, 77.19 W, 1755 MHz
2023/08/30 15:31:22.777, 77.19 W, 1755 MHz
2023/08/30 15:31:22.781, 77.19 W, 1755 MHz
2023/08/30 15:31:22.784, 77.19 W, 1755 MHz
2023/08/30 15:31:22.790, 77.19 W, 1755 MHz
2023/08/30 15:31:22.794, 77.19 W, 1755 MHz
2023/08/30 15:31:22.797, 77.19 W, 1755 MHz
2023/08/30 15:31:22.800, 77.19 W, 1755 MHz
2023/08/30 15:31:22.804, 77.19 W, 1755 MHz
2023/08/30 15:31:22.810, 77.19 W, 1755 MHz
2023/08/30 15:31:22.814, 77.19 W, 1755 MHz
2023/08/30 15:31:22.818, 77.19 W, 1755 MHz
2023/08/30 15:31:22.821, 77.57 W, 1755 MHz
2023/08/30 15:31:22.826, 77.57 W, 1755 MHz
2023/08/30 15:31:22.839, 77.57 W, 1755 MHz
2023/08/30 15:31:22.842, 77.57 W, 1755 MHz
2023/08/30 15:31:22.846, 77.57 W, 1755 MHz
2023/08/30 15:31:22.851, 77.57 W, 1755 MHz
2023/08/30 15:31:22.854, 77.57 W, 1755 MHz
2023/08/30 15:31:22.857, 77.57 W, 1755 MHz
2023/08/30 15:31:22.861, 77.57 W, 1755 MHz
2023/08/30 15:31:22.864, 77.57 W, 1755 MHz
2023/08/30 15:31:22.870, 77.57 W, 1755 MHz
2023/08/30 15:31:22.873, 77.57 W, 1755 MHz
2023/08/30 15:31:22.877, 77.57 W, 1755 MHz
2023/08/30 15:31:22.880, 77.57 W, 1755 MHz
2023/08/30 15:31:22.883, 77.57 W, 1755 MHz
